Comment,Designator,Footprint,LCSC
1k,"R_Crystal1,R_Flash1,R_RST1",R_0402_1005Metric,C11702
SM04B,J1,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,C145956
.1u,"C_1V-Decoup2,C_1V-Decoup3,C_3V-Decoup3,C_3V-Decoup4,C_3V-Decoup5,C_3V-Decoup6,C_3V-Decoup7,C_3V-Decoup8,C_3V-Decoup9,C_Flash1",C_0402_1005Metric,C1525
10u,C_3V-Decoup1,C_0402_1005Metric,C15525
22pF,"C_Crystal1,C_Crystal2",C_0402_1005Metric,C1555
RP2040,U1,RP2040-QFN-56,C2040
220,"R_LED1,R_LED2",R_0402_1005Metric,C25091
27,"R_DATA1,R_DATA2",R_0402_1005Metric,C25100
Boot,"SW1,SW2",SW_SPST_TL3342,C318884
1u,"C_1V-Decoup1,C_3V-Decoup2,C_LDO1,C_LDO2",C_0402_1005Metric,C52923
XC6206PxxxMR,U3,SOT-23,C5446
D_Small,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D49,D5,D50,D51,D52,D53,D54,D55,D56,D57,D58,D59,D6,D60,D61,D62,D63,D64,D65,D66,D67,D68,D7,D8,D9",D_SOD-123,C64898
74AHCT1G125,U5,SOT-23-5,C7468
12MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
WS2812B-2020,"D69,D70,D71,D72,D73,D74,D75,D76,D77,D78,D79,D80,D81,D82,D83,D84",LED_WS2812_2020,C965555
W25Q128JVS,U2,SOIC-8_5.23x5.23mm_P1.27mm,C97521
